,bikeid,mean_tripduration
4664,20269,731.0628571428572
9690,28972,731.089928057554
12088,32076,731.1111111111111
2298,17394,731.1142857142858
5983,25006,731.1631205673759
12148,32140,731.179012345679
10024,29422,731.2429149797571
11111,30847,731.2509803921569
10658,30367,731.2727272727273
304,14917,731.2881355932203
13171,33201,731.3387096774194
13258,33290,731.3475609756098
2199,17276,731.35
7009,26066,731.3722943722944
10333,30010,731.375796178344
13301,33334,731.4567307692307
2605,17763,731.5128205128206
10739,30457,731.5243243243243
11360,31117,731.5416666666666
8554,27830,731.5792079207921
10439,30125,731.6172839506173
12908,32929,731.6294642857143
2961,18192,731.710843373494
10196,29865,731.7724867724868
2414,17540,731.7946428571429
12205,32198,731.84
8270,27546,731.8582089552239
5952,24975,731.9398148148148
8803,28079,731.9604743083004
6214,25247,732.007434944238
440,15083,732.0654205607476
11645,31418,732.065868263473
3420,18742,732.0769230769231
10414,30098,732.0855614973262
6878,25928,732.1372549019608
13254,33286,732.1445086705203
3167,18436,732.1494252873563
12215,32209,732.203125
8080,27353,732.2204724409448
8233,27508,732.2383720930233
6808,25856,732.2657807308971
6370,25410,732.2969696969697
1779,16769,732.3452380952381
11167,30907,732.3576158940398
9914,29310,732.4567567567567
2616,17776,732.4630541871921
1643,16600,732.4761904761905
5065,20901,732.504854368932
11682,31456,732.5897435897435
1686,16659,732.6351351351351
676,15387,732.6596858638743
6677,25724,732.6807692307692
12771,32785,732.7777777777778
10741,30459,732.8062015503876
10398,30080,732.8406593406594
13128,33155,732.8443396226415
8599,27875,732.8561151079136
10885,30612,732.8894472361809
1160,15997,732.9294871794872
12523,32524,732.984126984127
2449,17579,732.9869281045752
11314,31070,732.9942857142858
7323,26537,733.0135135135135
1573,16518,733.0985915492957
3026,18269,733.1069182389937
4282,19804,733.1111111111111
9549,28831,733.1143911439115
6188,25221,733.1492537313433
4344,19882,733.1638418079096
402,15035,733.1717171717172
2981,18214,733.1902173913044
635,15337,733.2661870503597
392,15023,733.3236363636364
9625,28907,733.35
3240,18531,733.3963414634146
9249,28530,733.4553571428571
6495,25541,733.4673202614379
6443,25487,733.4829931972789
7421,26640,733.5514950166113
1206,16059,733.5541666666667
8394,27670,733.5890410958904
12097,32086,733.6196319018405
12534,32536,733.6228571428571
8055,27297,733.6491803278689
7979,27220,733.65
3275,18574,733.6606334841629
8954,28230,733.6772908366534
5455,21355,733.7543859649123
10297,29974,733.8008849557522
11184,30925,733.8061224489796
4516,20103,733.8157894736842
4667,20276,733.8232558139534
3837,19261,733.8616352201258
